metric,count,mean,std,median,min,max
p,152.000000,113.599834,147.889678,72.104076,20.384776,1229.457070
A,152.000000,706.914474,3122.303891,178.500000,48.000000,35383.000000
w,152.000000,17.025818,19.804320,11.424298,3.535534,165.890799
b,152.000000,36.872085,41.018121,24.147260,7.778175,381.205622
c,152.000000,65.943997,67.563081,47.357583,24.559841,666.810236
a,152.000000,31.750000,34.257546,23.000000,8.000000,371.000000
m,152.000000,10.030150,9.985371,7.430000,3.368421,94.646597
Lb,152.000000,35.131579,40.202416,22.500000,8.000000,381.000000
Wb,152.000000,22.519737,24.412561,15.000000,3.000000,205.000000
dH,152.000000,20.990626,21.505996,15.074387,7.817640,212.252290
pHull,152.000000,97.116385,105.829931,67.376154,22.384776,958.354473
Ahull,152.000000,1091.861842,4677.928457,235.000000,54.000000,48817.000000
ece,152.000000,101.114529,110.958326,66.015466,28.202980,971.510367
L_maj,152.000000,39.762676,41.927107,25.736070,9.095137,354.929228
L_min,152.000000,15.704738,17.547546,10.910811,4.327197,148.668997
d_BC,152.000000,38.072601,41.896838,25.099674,10.198039,381.352231
feret_major,152.000000,38.996056,41.887595,26.099650,11.197983,382.316515
feret_minor,152.000000,17.025818,19.804320,11.424298,3.535534,165.890799
w_f,152.000000,36.872085,41.018121,24.147260,7.778175,381.205622
DL_Circ,152.000000,1.547579,0.384325,1.452587,0.830004,2.957039
DL_Rec,152.000000,1.006156,0.111092,0.998602,0.463290,1.552787
DL_Com,152.000000,0.696772,0.193207,0.690384,0.262590,1.270588
DL_Elo,152.000000,3.336931,1.723769,2.990594,1.180328,10.910150
CI_Circ,152.000000,0.490729,0.225063,0.473962,0.114363,1.451574
CI_AR,152.000000,2.669597,1.314156,2.355925,1.092585,8.699925
CI_Con,152.000000,0.942815,0.134906,0.937795,0.634396,1.997945
CI_Sol,152.000000,0.776961,0.137947,0.808781,0.379290,1.000000
LL_Circ,152.000000,0.682913,0.156590,0.688442,0.338176,1.204813
LL_AR,152.000000,0.686210,0.203995,0.691851,0.191176,1.000000
LL_Elo,152.000000,0.313790,0.203995,0.308149,0.000000,0.808824
LL_Con,152.000000,0.919367,0.087068,0.928865,0.606860,1.449923
LL_Sol,152.000000,0.776961,0.137947,0.808781,0.379290,1.000000
LI_AR,152.000000,0.450780,0.181375,0.424462,0.114944,0.915260
LI_Con,152.000000,0.919367,0.087068,0.928865,0.606860,1.449923
LI_Sol,152.000000,0.776961,0.137947,0.808781,0.379290,1.000000
SC_Circ,152.000000,0.402334,0.168070,0.384485,0.084605,0.771289
SC_Rec,152.000000,0.696772,0.193207,0.690384,0.262590,1.270588
SC_ARF,152.000000,0.512778,0.201750,0.485298,0.142298,1.000000
SC_AR,152.000000,2.306981,1.044829,2.060606,1.000000,7.027523
FF,152.000000,0.490729,0.225063,0.473962,0.114363,1.451574
Reg,152.000000,0.180254,0.164080,0.117798,0.002682,0.729390
