metric,count,mean,std,median,min,max
p,70.000000,422.994568,1032.888932,97.610173,22.727922,7098.720123
A,70.000000,4876.057143,17234.813049,386.000000,43.000000,102392.000000
w,70.000000,47.781697,83.242671,17.692388,4.000000,458.948258
b,70.000000,95.064867,165.835796,37.817396,7.778175,984.000000
c,70.000000,136.553169,207.955198,69.646327,23.245514,1134.326152
a,70.000000,48.414286,58.868434,32.000000,8.000000,389.000000
m,70.000000,22.577325,36.474671,9.644177,3.368421,231.083587
Lb,70.000000,93.400000,166.647019,34.500000,10.000000,985.000000
Wb,70.000000,58.057143,95.743299,22.000000,4.000000,518.000000
dH,70.000000,43.466224,66.194195,22.169115,7.399277,361.067228
pHull,70.000000,206.384249,305.575217,85.361436,22.727922,1721.179941
Ahull,70.000000,12861.000000,46954.246779,485.000000,45.000000,265449.000000
ece,70.000000,262.839729,443.741135,101.610852,28.945894,2394.559973
L_maj,70.000000,100.739357,185.215292,39.972752,7.832426,1123.645801
L_min,70.000000,42.491725,69.559465,16.369915,4.547846,399.861744
d_BC,70.000000,98.697143,170.474543,38.084643,11.000000,988.965865
feret_major,70.000000,99.345594,170.197654,39.084526,12.000000,989.671051
feret_minor,70.000000,47.781697,83.242671,17.692388,4.000000,458.948258
w_f,70.000000,95.064867,165.835796,37.817396,7.778175,984.000000
DL_Circ,70.000000,1.940873,1.119557,1.491765,0.801429,7.144724
DL_Rec,70.000000,1.066585,0.366749,1.012709,0.516544,3.179542
DL_Com,70.000000,0.592847,0.248613,0.608326,0.135054,1.039216
DL_Elo,70.000000,3.121751,1.949914,2.517929,0.809776,11.409396
CI_Circ,70.000000,0.464749,0.342448,0.449461,0.019590,1.556935
CI_AR,70.000000,2.637301,1.497130,2.102726,1.074308,8.985091
CI_Con,70.000000,0.947840,0.273945,0.930868,0.275194,1.995158
CI_Sol,70.000000,0.688756,0.210961,0.726794,0.266522,0.955556
LL_Circ,70.000000,0.634617,0.250817,0.670395,0.139963,1.247772
LL_AR,70.000000,0.634193,0.216423,0.663690,0.196429,0.977612
LL_Elo,70.000000,0.365807,0.216423,0.336310,0.022388,0.803571
LL_Con,70.000000,0.832086,0.202495,0.899716,0.242463,1.387612
LL_Sol,70.000000,0.688756,0.210961,0.726794,0.266522,0.955556
LI_AR,70.000000,0.474771,0.199088,0.475613,0.111295,0.930832
LI_Con,70.000000,0.832086,0.202495,0.899716,0.242463,1.387612
LI_Sol,70.000000,0.688756,0.210961,0.726794,0.266522,0.955556
SC_Circ,70.000000,0.346904,0.188956,0.312324,0.052999,0.769114
SC_Rec,70.000000,0.592847,0.248613,0.608326,0.135054,1.039216
SC_ARF,70.000000,0.526501,0.216188,0.500000,0.142647,1.000000
SC_AR,70.000000,2.318639,1.190181,2.000000,1.000000,7.010309
FF,70.000000,0.464749,0.342448,0.449461,0.019590,1.556935
Reg,70.000000,0.154938,0.177257,0.087137,0.000620,0.848677
